id,name,image,description,category,sub_category,main_category,top_seller,price
1,"MyWorktop 20mm Aurora Satin White Marble effect Kitchen Worktop, (L)2200mm",/images/products/myworktop-20mm-aurora-satin-white-marble-effect-kitchen-worktop-l-2200mm.png,The Aurora worktop has a beautiful white marble effect and is ideal for creating a modern kitchen. Combine with the Aurora white upstand to complete the look.,Kitchen worktops,kitchen,kitchen_bathroom,0,597
2,"HI-MACS 20mm Matt Chamomile Stone effect Acrylic Square edge Kitchen Worktop, (L)2200mm",/images/products/hi-macs-20mm-matt-chamomile-stone-effect-acrylic-square-edge-kitchen-worktop-l-2200mm.png,"This chamomile cream stone effect worktop from HI-MACS® is designed to be functional and easy to maintain. There are a wide range of options to suit your style and home, they also compliment the GoodHome doors and accessories that are available, making it easier than ever to create your own individual space. This HI-MACS® worktop has a luxurious feel and can be easily installed and maintained. It is waterproof, durable and easy to maintain. This new product allows for design freedom and takes away the need for templating and factory fabrication, which also has the additional benefit of saving time and cost",Kitchen worktops,kitchen,kitchen_bathroom,0,548
3,"HI-MACS 20mm Matt Diamond white Stone effect Acrylic Square edge Kitchen Worktop, (L)2200mm",/images/products/hi-macs-20mm-matt-diamond-white-stone-effect-acrylic-square-edge-kitchen-worktop-l-2200mm.png,"This diamond white stone effect worktop from HI-MACS® is designed to be functional and easy to maintain. There are a wide range of options to suit your style and home, they also compliment the GoodHome doors and accessories that are available, making it easier than ever to create your own individual space. This HI-MACS® worktop has a luxurious feel and can be easily installed and maintained. It is waterproof, durable and easy to maintain. This new product allows for design freedom and takes away the need for templating and factory fabrication, which also has the additional benefit of saving time and cost",Kitchen worktops,kitchen,kitchen_bathroom,0,548
4,"Wintaplas Smart adhesives Orange Frostproofer, 5L Plastic jerry can",/images/products/wintaplas-smart-adhesives-orange-frostproofer-5l-plastic-jerry-can.png,"Bostik Frostproofer & Accelerator accelerates the setting of mortar mixes year round but particularly in cold weather and during the winter months. It also plasticises the mix to improve workability and is ideal for bricklaying, rendering, blockwork and mortars containing embedded metal. Plasticises and accelerates setting time of mortar mixes. Chloride free, ideal for mortars with embedded metal. Ideal for Winter & cold weather use",Additives & chemicals,building_supplies,building_hardware,0,8.45
5,"Sika Latex SBR White Specialist building primer, 5L, 5.2kg",/images/products/sika-latex-sbr-white-specialist-building-primer-5l-5-2kg.png,"This latex-based, water resistant bonding agent & admixture from Sika is suitable for use in areas which will be subject to high levels of humidity, dampness and continuous water contact. Improves water resistance of cement mixtures by forming a reinforcing polymer that increases long term durability and flexibility of the mix on renderings and floor screeds. Uses include: As an admixture for mortar/screeds/renders, as a bonding agent for screeds/renders, as a primer/sealer in tiling applications & as a flexibiliser for cementitious-based tile adhesive when tiling on wooden/asphalt floors. Excellent resistance to water and water vapourA high level of resistance to salt permeation. Reduced water:cement ratio for equivalent workability. Improved frost resistance & freeze thaw stable",Additives & chemicals,building_supplies,building_hardware,0,35
6,"Blue Circle Hydrated lime, 25kg Bag",/images/products/blue-circle-hydrated-lime-25kg-bag.png,"Blue Circle Hydralime is a hydrated lime used for increased plasticity & cohesiveness in cement, mortars & renders. Preparation: 1 part Portland cement, 1 part hydralime & 5 to 6 parts sand. Fine, white, dry powder which lightens and brightens mortarsA high calcium, non hydraulic, hydrated lime. Makes floating renders and pointing mortars easier. Hydralime can be used for traditional nominal mixes for mortars and renders in conjunction with standard Portland based cements or in lime-washes without cement",Additives & chemicals,building_supplies,building_hardware,1,17.42
7,"Sika Clear Masonry waterproofer, 5L Jerry can",/images/products/sika-clear-masonry-waterproofer-5l-jerry-can.png,This ready to use Sikagard facade from Sika is a water based impregnation emulsion. Sikagard Facade makes walls and facades water repellent and provides long lasting protection against water ingress. Strong water repellent capability. Water-based and environmental friendly.,Additives & chemicals,building_supplies,building_hardware,0,22
8,Sika Sikacem White PVA primer & sealer 5L,/images/products/sika-sikacem-white-pva-primer-sealer-5l.png,"This SikaCem® PVA is a water based, multi purpose, economic adhesive, sealer and mortar admixture.",Additives & chemicals,building_supplies,building_hardware,0,45
9,"Bostik Smart adhesives Dark brown Mortar plasticiser, 5L Plastic jerry can",/images/products/bostik-smart-adhesives-dark-brown-mortar-plasticiser-5l-plastic-jerry-can.png,Bostik Mortar Plasticiser improves the workability of mortar without the addition of lime. It helps reduce grittiness to provide a smooth mortar with improved durability and protection against frost. It also reduces the water content of the mortar. Improves workability and durability of mortar. Reduces water content of mortar.,Additives & chemicals,building_supplies,building_hardware,0,6.5
10,"Bostik Frostproofer, 1L Jerry can",/images/products/bostik-frostproofer-1l-jerry-can.png,"Accelerates setting times in cold conditions, making it particularly effective at improving the workability concrete and mortar.",Additives & chemicals,building_supplies,building_hardware,0,4.82
11,"Sandtex Stabilising solution, 2.5L Tub",/images/products/sandtex-stabilising-solution-2-5l-tub.png,"Ideal for heavy duty cleaning, this 2.5L stabilising solution from Sandtex is great for domestic cleaning on exterior walls, paths & patios.",Additives & chemicals,building_supplies,building_hardware,0,22
12,"Bostik Cementone Yellow Waterproofing & air entraining admixture, 5L Plastic jerry can 5.59kg",/images/products/bostik-cementone-yellow-waterproofing-air-entraining-admixture-5l-plastic-jerry-can-5-59kg.png,"Bostik Accelerator & Frostproofer accelerates the setting of mortar mixes year-round but particularly in cold weather and during the winter months. It also plasticises the mix to improve workability and is ideal for bricklaying, rendering, blockwork and mortars containing embedded metal. Plasticises and accelerates setting time of mortar mixes. Chloride-free, ideal for mortars with embedded metal. Ideal for Winter & cold weather use.",Additives & chemicals,building_supplies,building_hardware,0,11.4
13,"Bostik Smart adhesives Orange Waterproofing & air entraining admixture, 5L Plastic jerry can",/images/products/bostik-smart-adhesives-orange-waterproofing-air-entraining-admixture-5l-plastic-jerry-can.png,"This waterproofer & retarder provides protection against driving rain and damp conditions, and extends the mix setting time to allow larger areas to be worked in a single application. It also improves the workability of the mortar and has been specifically designed to be used in pebble dashing & rendering and general above ground waterproofing work. Retarder, waterproofer and plasticiser. Slows setting time of mortar - ideal for large areas. Reduces water penetration of mortar. Makes mortar easier to work",Additives & chemicals,building_supplies,building_hardware,0,8.44
